# Tabla de verdad
# Generado a partir de un circuito Binary_to_Two_Seven_Segment
# Exportado en Sat Apr 03 10:44:00 COT 2021

# Consejos y notas sobre el formato:
# * Puede editar este archivo y luego importarlo de nuevo a Logisim!
# * Cualquier cosa después de un '#' es un comentario y será ignorado.
# * Las líneas en blanco y las líneas de separación (por ejemplo, ~~~~~~~) se ignoran.
%a * Mantener nombres de columnas simples (sin espacios, puntuación, etc.)
# * 'Nombre[N..0]' indica una variable de 1 bit N, mientras que
# 'Nombre' por sí mismo indica una variable de 1 bit.
Puedes usar'x' o'-' para indicar "no me importa" para ambos.
# bits de entrada y salida.
Puede utilizar la notación binaria (por ejemplo,'10100011xxxxxx') o
y o hexadecimal (por ejemplo, 'C3x'). Logisim averiguará cuál es cuál.

entrance[7..0] | aa bb cc dd ee ff gg a b c d e f g
   11100011    | 1  1  1  1  0  0  1  1 0 0 1 1 1 1
   11100100    | 0  1  1  0  0  1  1  1 0 0 1 1 1 1
   11100101    | 1  0  1  1  0  1  1  1 0 0 1 1 1 1
   11100110    | 1  0  1  1  1  1  1  1 0 0 1 1 1 1
   11100111    | 1  1  1  0  0  0  0  1 0 0 1 1 1 1
   11101000    | 1  1  1  1  1  1  1  1 0 0 1 1 1 1
   11101001    | 1  1  1  0  0  1  1  1 0 0 1 1 1 1
   11101010    | 1  1  1  0  1  1  1  1 0 0 1 1 1 1
   11101011    | 0  0  1  1  1  1  1  1 0 0 1 1 1 1
   11101100    | 1  0  0  1  1  1  0  1 0 0 1 1 1 1
   11101101    | 0  1  1  1  1  0  1  1 0 0 1 1 1 1
   11101110    | 1  0  0  1  1  1  1  1 0 0 1 1 1 1
   11101111    | 1  0  0  0  1  1  1  1 0 0 1 1 1 1
   11110000    | 1  1  1  1  1  1  0  1 0 0 0 1 1 1
   11110001    | 0  1  1  0  0  0  0  1 0 0 0 1 1 1
   11110010    | 1  1  0  1  1  0  1  1 0 0 0 1 1 1
   11110011    | 1  1  1  1  0  0  1  1 0 0 0 1 1 1
   11110100    | 0  1  1  0  0  1  1  1 0 0 0 1 1 1
   11110101    | 1  0  1  1  0  1  1  1 0 0 0 1 1 1
   11110110    | 1  0  1  1  1  1  1  1 0 0 0 1 1 1
   11110111    | 1  1  1  0  0  0  0  1 0 0 0 1 1 1
   11111000    | 1  1  1  1  1  1  1  1 0 0 0 1 1 1
   11111001    | 1  1  1  0  0  1  1  1 0 0 0 1 1 1
   11111010    | 1  1  1  0  1  1  1  1 0 0 0 1 1 1
   11111011    | 0  0  1  1  1  1  1  1 0 0 0 1 1 1
   11111100    | 1  0  0  1  1  1  0  1 0 0 0 1 1 1
   11111101    | 0  1  1  1  1  0  1  1 0 0 0 1 1 1
   11111110    | 1  0  0  1  1  1  1  1 0 0 0 1 1 1
   11111111    | 1  0  0  0  1  1  1  1 0 0 0 1 1 1
